%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
4.114092e+000	145013
4.117153e+000	144464
4.131812e+000	144330
4.177198e+000	144295
4.249892e+000	143666
4.289747e+000	143608
4.320242e+000	143601
4.825488e+000	141506
1.560653e+001	141023
1.564260e+001	141014
1.728817e+001	139908
1.732326e+001	139749
1.843480e+001	139597
1.853490e+001	139360
2.513109e+001	139192
2.534981e+001	137638
2.543087e+001	137247
2.544957e+001	137021
5.118392e+001	135550
6.842372e+001	134671
6.861706e+001	134397
8.082902e+001	133928
8.083481e+001	133248
8.096113e+001	133246
8.104376e+001	133202
8.200906e+001	132648
8.204204e+001	132336
8.206950e+001	131936
8.208730e+001	131506
1.217542e+002	131294
1.217601e+002	131099
1.385325e+002	129941
1.386138e+002	129904
1.386984e+002	129461
1.387905e+002	129402
1.387926e+002	129286
2.026190e+002	128944
2.028898e+002	128824
2.079778e+002	128696
2.081285e+002	128682
2.095825e+002	128337
2.100265e+002	128188
2.103170e+002	128022
2.122767e+002	127720
2.126597e+002	127706
2.128502e+002	127686
2.275866e+002	127117
2.277321e+002	127116
2.278859e+002	127096
2.283165e+002	126607
2.287237e+002	126597
2.287648e+002	126506
2.306419e+002	126494
2.308052e+002	126324
2.417795e+002	126171
2.418307e+002	126158
2.429569e+002	126121
2.439267e+002	125713
2.440209e+002	124833
2.451194e+002	124742
2.561456e+002	124735
2.561879e+002	124543
2.732253e+002	124433
2.738463e+002	124279
2.739103e+002	123930
2.878927e+002	123756
2.889088e+002	123681
3.052046e+002	123423
3.052471e+002	123372
3.061050e+002	123335
3.063776e+002	123271
3.181318e+002	123038
3.195443e+002	123005
3.228902e+002	122702
3.238351e+002	122611
3.259898e+002	122505
1.540054e+003	121875
1.540260e+003	121828
1.540525e+003	121659
1.540785e+003	121612
1.541739e+003	121602
1.543759e+003	121517
1.546275e+003	121448
1.566601e+003	121364
1.567376e+003	121334
1.568320e+003	121279
1.568484e+003	121161
1.573884e+003	120838
1.573903e+003	120713
1.579707e+003	120629
1.581698e+003	120526



%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
2.466593e+000	160458
2.490070e+000	159509
2.675690e+000	151565
3.350598e+000	150484
3.399139e+000	149894
3.815338e+000	145821
3.839752e+000	144504
5.284968e+000	140213
5.315833e+000	138711
2.626677e+001	137073
2.837120e+001	137048
2.838546e+001	136651
3.024248e+001	136554
3.025615e+001	136197
3.079879e+001	133443
3.103525e+001	133135
6.630411e+001	133026
6.631634e+001	132860
6.639626e+001	132581
6.715489e+001	132512
6.766874e+001	132313
6.816609e+001	132175
6.846646e+001	131817
9.958354e+001	131309
1.013603e+002	130950
1.014586e+002	130502
1.674643e+002	130438
1.675617e+002	130257
1.675750e+002	130116
1.677019e+002	130114
1.678942e+002	130023
1.735451e+002	129958
2.146604e+002	129674
2.156771e+002	129470
2.156791e+002	129404
2.184409e+002	129261
2.184701e+002	129118
2.277104e+002	128990
2.277833e+002	128656
2.279454e+002	127519
2.288499e+002	126954
2.304504e+002	126861
2.336170e+002	126008
2.598249e+002	125802
2.624979e+002	125766
2.784426e+002	125149
3.060150e+002	125097
3.062883e+002	125071
3.065085e+002	124860
3.084056e+002	124849
3.092641e+002	124823
1.118246e+003	124334
1.118632e+003	124138
1.119012e+003	123234
1.119494e+003	123024



%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
6.402330e-001	153177
6.516855e-001	152926
6.563364e-001	151769
1.017465e+000	143673
1.664208e+000	143643
1.717594e+000	143108
1.756352e+000	142793
1.041392e+001	141284
1.047100e+001	140732
1.718386e+001	140365
1.734253e+001	140211
1.795292e+001	139630
1.804792e+001	138965
1.922972e+001	138747
1.942420e+001	137532
1.955435e+001	136968
1.970204e+001	136504
1.978392e+001	136481
1.978902e+001	136415
2.003977e+001	136193
5.011424e+001	136036
5.012137e+001	136026
5.023706e+001	135987
5.025401e+001	135539
6.426561e+001	135165
6.466122e+001	135076
6.475976e+001	134698
6.482387e+001	134529
6.508959e+001	134219
6.555580e+001	134085
6.594852e+001	133747
6.618620e+001	133524
6.680479e+001	133488
6.684103e+001	133428
6.988822e+001	133238
6.996403e+001	132850
8.030388e+001	132536
1.046060e+002	132366
1.191510e+002	131969
1.192372e+002	130291
1.248382e+002	129538
1.258459e+002	129351
1.259596e+002	129213
1.289192e+002	128975
1.307308e+002	128604
1.311694e+002	128569
1.318704e+002	128311
1.773820e+002	128067
1.943460e+002	128049
2.008314e+002	127998
2.099323e+002	127995
2.112185e+002	127854
2.113157e+002	127326
2.136354e+002	127203
2.136967e+002	126823
2.704540e+002	126819
2.749488e+002	126613
2.868595e+002	126313
2.887882e+002	126285
3.053696e+002	125970
3.110650e+002	125953
3.452048e+002	125280
3.461382e+002	125203
3.470108e+002	125056
3.478453e+002	125039
3.496183e+002	124997
3.509717e+002	123908
3.631819e+002	123672
3.632021e+002	123129
3.680373e+002	122937
3.689409e+002	122928
4.098351e+002	122922
4.100858e+002	122845
4.133937e+002	122689
4.320281e+002	122549
9.150239e+002	121809
9.166568e+002	121750



%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
9.158560e-001	153177
9.289913e-001	152926
9.502225e-001	151769
1.311343e+000	143673
1.955590e+000	143643
2.013964e+000	143108
2.057066e+000	142793
1.120432e+001	141284
1.126204e+001	140732
1.943682e+001	140365
1.960652e+001	140211
2.030693e+001	139630
2.040696e+001	138965
2.176172e+001	138747
2.198910e+001	137532
2.214219e+001	136968
2.230166e+001	136504
2.244958e+001	136481
2.249737e+001	136415
2.283101e+001	136193
5.549018e+001	136036
5.549920e+001	136026
5.562337e+001	135987
5.564180e+001	135539
7.008175e+001	135165
7.049249e+001	135076
7.058787e+001	134698
7.065459e+001	134529
7.091050e+001	134219
7.137829e+001	134085
7.180855e+001	133747
7.205304e+001	133524
7.271174e+001	133488
7.274759e+001	133428
7.590157e+001	133238
7.597537e+001	132850
8.632590e+001	132536
1.111508e+002	132366
1.260970e+002	131969
1.261847e+002	130291
1.319157e+002	129538
1.329499e+002	129351
1.330818e+002	129213
1.361509e+002	128975
1.380481e+002	128604
1.384859e+002	128569
1.392177e+002	128311
1.854884e+002	128067
2.029515e+002	128049
2.096424e+002	127998
2.190257e+002	127995
2.203344e+002	127854
2.204449e+002	127326
2.228031e+002	127203
2.228657e+002	126823
2.817977e+002	126819
2.864660e+002	126613
2.989525e+002	126313
3.008851e+002	126285
3.175285e+002	125970
3.231423e+002	125953
3.571100e+002	125280
3.580315e+002	125203
3.588902e+002	125056
3.597042e+002	125039
3.614747e+002	124997
3.628165e+002	123908
3.749280e+002	123672
3.749485e+002	123129
3.797642e+002	122937
3.806555e+002	122928
4.213462e+002	122922
4.215919e+002	122845
4.248972e+002	122689
4.435458e+002	122549
9.219755e+002	121809
9.236261e+002	121750



%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
4.605023e+000	147809
1.073634e+001	143133
1.702885e+001	142947
1.710065e+001	142388
2.644399e+001	142129
4.568502e+001	142044
4.616424e+001	139676
5.997414e+001	134162
1.042582e+002	133948
1.046751e+002	133198
1.046975e+002	132748
1.303859e+002	132631
1.304395e+002	132545
1.330572e+002	132373
1.330794e+002	132136
1.331965e+002	131964
1.332341e+002	130792
1.332569e+002	130791
1.341691e+002	130147
1.343997e+002	129201
1.344201e+002	128650
1.508353e+002	127920
1.512817e+002	127245
1.961408e+002	126754
1.961882e+002	126005
1.963550e+002	125478
1.981261e+002	125145
1.981910e+002	125135
1.983106e+002	124694
1.983290e+002	124541
1.983794e+002	124524
1.984239e+002	124381
2.041221e+002	124255
2.068629e+002	124233
2.076961e+002	124179
2.078409e+002	124121
2.905608e+002	123604
2.906761e+002	123562
2.907881e+002	123515
2.949770e+002	123231
2.964979e+002	123204
2.967284e+002	123176
2.970835e+002	123084
2.982580e+002	123040
2.982742e+002	122996
2.999787e+002	122991
3.010495e+002	122916
3.350058e+002	122419
3.385167e+002	122397
3.660709e+002	122368
3.712126e+002	122031
3.718083e+002	121748
3.898793e+002	121720
3.961778e+002	120941
3.968004e+002	120656
3.968892e+002	120376
3.973083e+002	120360
4.091190e+002	120251
4.097227e+002	120123
4.100517e+002	119819
4.115328e+002	119807



%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
3.881967e+000	145013
3.884842e+000	144464
3.897954e+000	144330
3.941161e+000	144295
4.010944e+000	143666
4.050305e+000	143608
4.079716e+000	143601
4.558590e+000	141506
1.509216e+001	141023
1.512852e+001	141014
1.680303e+001	139908
1.684078e+001	139749
1.797040e+001	139597
1.807355e+001	139360
2.447217e+001	139192
2.466195e+001	137638
2.473728e+001	137247
2.475674e+001	137021
5.014400e+001	135550
6.707528e+001	134671
6.726427e+001	134397
7.907659e+001	133928
7.908241e+001	133248
7.920949e+001	133246
7.929212e+001	133202
8.024178e+001	132648
8.027554e+001	132336
8.030271e+001	131936
8.032111e+001	131506
1.185697e+002	131294
1.185753e+002	131099
1.348650e+002	129941
1.349420e+002	129904
1.350232e+002	129461
1.351117e+002	129402
1.351142e+002	129286
1.963375e+002	128944
1.966003e+002	128824
2.015623e+002	128696
2.017097e+002	128682
2.030069e+002	128337
2.033789e+002	128188
2.036393e+002	128022
2.055423e+002	127720
2.059122e+002	127706
2.060993e+002	127686
2.203967e+002	127117
2.205375e+002	127116
2.206867e+002	127096
2.211320e+002	126607
2.215219e+002	126597
2.215630e+002	126506
2.233841e+002	126494
2.235471e+002	126324
2.341252e+002	126171
2.341661e+002	126158
2.352472e+002	126121
2.362179e+002	125713
2.363083e+002	124833
2.374089e+002	124742
2.480397e+002	124735
2.480822e+002	124543
2.644482e+002	124433
2.650515e+002	124279
2.651149e+002	123930
2.786423e+002	123756
2.796064e+002	123681
2.957512e+002	123423
2.957929e+002	123372
2.966500e+002	123335
2.969247e+002	123271
3.080844e+002	123038
3.094333e+002	123005
3.125289e+002	122702
3.134143e+002	122611
3.154315e+002	122505
1.533525e+003	121875
1.533721e+003	121828
1.533965e+003	121659
1.534217e+003	121612
1.535092e+003	121602
1.536956e+003	121517
1.539252e+003	121448
1.557831e+003	121364
1.558554e+003	121334
1.559416e+003	121279
1.559569e+003	121161
1.564587e+003	120838
1.564610e+003	120713
1.569972e+003	120629
1.571813e+003	120526



%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
2.264332e+000	160458
2.285636e+000	159509
2.455061e+000	151565
3.096893e+000	150484
3.142052e+000	149894
3.503932e+000	145821
3.522945e+000	144504
4.795160e+000	140213
4.823873e+000	138711
2.405174e+001	137073
2.608208e+001	137048
2.609575e+001	136651
2.791494e+001	136554
2.792802e+001	136197
2.846162e+001	133443
2.869198e+001	133135
6.072404e+001	133026
6.073458e+001	132860
6.079831e+001	132581
6.144661e+001	132512
6.192304e+001	132313
6.239286e+001	132175
6.267892e+001	131817
9.184683e+001	131309
9.354410e+001	130950
9.364123e+001	130502
1.594923e+002	130438
1.595976e+002	130257
1.596109e+002	130116
1.597477e+002	130114
1.599879e+002	130023
1.652416e+002	129958
2.035164e+002	129674
2.044672e+002	129470
2.044692e+002	129404
2.070507e+002	129261
2.070745e+002	129118
2.157275e+002	128990
2.157958e+002	128656
2.159500e+002	127519
2.167944e+002	126954
2.182787e+002	126861
2.212360e+002	126008
2.457303e+002	125802
2.482340e+002	125766
2.632410e+002	125149
2.890826e+002	125097
2.893038e+002	125071
2.894978e+002	124860
2.912449e+002	124849
2.920550e+002	124823
1.065976e+003	124334
1.066327e+003	124138
1.066676e+003	123234
1.067112e+003	123024
3.175804e+003	122941
3.175811e+003	122837



%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
1.283604e+000	147949
3.634739e+000	143726
5.821413e+000	142401
5.850918e+000	140937
6.205750e+000	137827
2.150479e+001	137746
2.154216e+001	137548
3.301184e+001	137371
4.264007e+001	137292
4.389084e+001	137286
4.390356e+001	137193
4.732950e+001	136800
5.443535e+001	136664
5.452038e+001	135388
5.454672e+001	135323
5.456061e+001	135210
5.460632e+001	134987
5.461986e+001	134891
6.410197e+001	134787
6.547086e+001	133876
7.003331e+001	133856
7.006572e+001	133631
7.011899e+001	133269
7.015163e+001	132828
7.016687e+001	132390
7.099322e+001	132225
7.100584e+001	132169
7.105896e+001	131355
7.143226e+001	130171
1.467465e+002	130085
1.468458e+002	129943
1.470928e+002	129914
1.470997e+002	129799
1.508789e+002	129556
1.510589e+002	129539
1.511583e+002	129402
1.686348e+002	129131
1.795425e+002	129096
1.799130e+002	128802
1.799719e+002	128517
1.801041e+002	128463
1.802152e+002	128310
1.874893e+002	128254
1.875019e+002	128223
1.877262e+002	128163
1.878217e+002	128109
1.880040e+002	128042
1.886252e+002	127872
1.887267e+002	127475
1.888219e+002	127116
1.933935e+002	126618
2.010711e+002	126294
2.013521e+002	125938
2.024343e+002	125696
2.027894e+002	125622
2.118914e+002	125537
2.120927e+002	125199
2.181451e+002	125185
2.181515e+002	124953
2.206837e+002	124852
2.414654e+002	124394
2.417045e+002	124007
2.420599e+002	123999
2.435292e+002	123763
2.437036e+002	123753
2.455469e+002	123740
2.596266e+002	123704
2.597669e+002	123599
2.597794e+002	123402
2.597842e+002	123297
2.599384e+002	123117
2.599489e+002	123012
2.703970e+002	122942
2.704348e+002	122904
2.705032e+002	122820
2.709975e+002	122779
2.711059e+002	122658
2.742722e+002	122456
2.750501e+002	122363
3.028589e+003	121931



%NL12, T=500, betaT=0.990000, w=4000, maxC=200, maxP=100, maxR=5
%time (s)	cost
5.171808e+000	142490
5.233546e+000	141067
5.316785e+000	140688
2.320919e+001	140081
2.323648e+001	139820
2.450891e+001	139106
2.455493e+001	138731
5.025128e+001	138709
5.069471e+001	137893
5.075131e+001	137885
5.489026e+001	136638
5.554904e+001	135954
5.560629e+001	135219
6.330440e+001	135199
9.159012e+001	134309
9.170759e+001	134302
9.181430e+001	133824
1.178879e+002	133571
